,Topic,Probability,created_at,date,week_start
1,Topic 0,0,Thu Dec 31 17:00:58 +0000 2020,12/31/20,12/27/20
2,Topic 0,0,Fri Apr 23 04:24:08 +0000 2021,4/23/21,4/18/21
3,Topic 0,0,Fri Apr 23 12:49:10 +0000 2021,4/23/21,4/18/21
4,Topic 0,0,Fri Apr 23 12:04:35 +0000 2021,4/23/21,4/18/21
5,Topic 0,0,Fri Apr 23 12:01:13 +0000 2021,4/23/21,4/18/21
6,Topic 0,0,Fri Apr 23 11:24:11 +0000 2021,4/23/21,4/18/21
7,Topic 0,0,Fri Apr 23 10:42:51 +0000 2021,4/23/21,4/18/21
8,Topic 0,0,Fri Apr 23 10:08:55 +0000 2021,4/23/21,4/18/21
9,Topic 0,0,Fri Apr 23 08:11:59 +0000 2021,4/23/21,4/18/21
10,Topic 0,0,Fri Apr 23 07:40:34 +0000 2021,4/23/21,4/18/21
11,Topic 0,0,Fri Apr 23 07:28:31 +0000 2021,4/23/21,4/18/21
12,Topic 0,0,Fri Apr 23 06:59:42 +0000 2021,4/23/21,4/18/21
13,Topic 0,0,Fri Apr 23 04:25:41 +0000 2021,4/23/21,4/18/21
14,Topic 0,0,Fri Apr 23 03:41:54 +0000 2021,4/23/21,4/18/21
15,Topic 0,0,Fri Apr 23 13:41:24 +0000 2021,4/23/21,4/18/21
16,Topic 0,0,Fri Apr 23 03:12:02 +0000 2021,4/23/21,4/18/21
17,Topic 0,0,Fri Apr 23 02:18:21 +0000 2021,4/23/21,4/18/21
18,Topic 0,0,Fri Apr 23 01:48:39 +0000 2021,4/23/21,4/18/21
19,Topic 0,0,Fri Apr 23 00:56:34 +0000 2021,4/23/21,4/18/21
20,Topic 0,0,Sat Apr 24 11:33:34 +0000 2021,4/24/21,4/18/21
21,Topic 0,0,Sat Apr 24 11:23:57 +0000 2021,4/24/21,4/18/21
22,Topic 0,0,Sat Apr 24 11:18:37 +0000 2021,4/24/21,4/18/21
23,Topic 0,0,Sat Apr 24 11:09:40 +0000 2021,4/24/21,4/18/21
24,Topic 0,0,Sat Apr 24 10:28:25 +0000 2021,4/24/21,4/18/21
25,Topic 0,0,Sat Apr 24 09:45:43 +0000 2021,4/24/21,4/18/21
26,Topic 0,0,Sat Apr 24 09:44:31 +0000 2021,4/24/21,4/18/21
27,Topic 0,0,Fri Apr 23 13:04:53 +0000 2021,4/23/21,4/18/21
28,Topic 0,0,Fri Apr 23 13:45:59 +0000 2021,4/23/21,4/18/21
29,Topic 0,0,Sat Apr 24 02:17:55 +0000 2021,4/24/21,4/18/21
30,Topic 0,0,Thu May 06 19:20:28 +0000 2021,5/6/21,5/2/21
31,Topic 0,0,Thu May 06 22:17:36 +0000 2021,5/6/21,5/2/21
32,Topic 0,0,Thu May 06 22:16:04 +0000 2021,5/6/21,5/2/21
33,Topic 0,0,Thu May 06 22:09:34 +0000 2021,5/6/21,5/2/21
34,Topic 0,0,Thu May 06 22:03:48 +0000 2021,5/6/21,5/2/21
35,Topic 0,0,Thu May 06 21:47:18 +0000 2021,5/6/21,5/2/21
36,Topic 0,0,Thu May 06 20:48:54 +0000 2021,5/6/21,5/2/21
37,Topic 0,0,Thu May 06 20:29:02 +0000 2021,5/6/21,5/2/21
38,Topic 0,0,Thu May 06 20:17:58 +0000 2021,5/6/21,5/2/21
39,Topic 0,0,Thu May 06 20:01:21 +0000 2021,5/6/21,5/2/21
40,Topic 0,0,Thu May 06 19:43:55 +0000 2021,5/6/21,5/2/21
